timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
860308690,860308209,0,nan,nan,1.5213181,1.4555836,-0.3469733,1.0054654,2.6427975,0.24295658,-2.6353795e-05,0.025561802,0.0013563157,0.0012867812,-2.4855537,-0.16062875,-0.00048217044,-1.4957211,0.6171995,0.6448769,1.5286566,0.16137503,nan,0.1,0.0074725496,0.005295124,0.025555663,0.018162426,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860326731,860326211,0,nan,nan,1.5214114,1.4560708,-0.34697434,1.0054654,2.6427975,0.24295658,0.0034678956,0.027353214,-0.0034480894,-0.003518895,-2.4855537,-0.16062875,-0.00048217044,0.49457705,-0.647547,-0.07556002,1.5283916,0.16137503,nan,0.1,0.0076563735,0.0054271077,0.026540592,0.018849175,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860344800,860344213,0,nan,nan,1.5215482,1.4565713,-0.34696183,1.0054654,2.6427975,0.24295658,0.004674866,0.031256434,-0.0034968376,-0.003568706,-2.4855537,-0.16062875,-0.00048217044,-1.0264374,1.1909438,-1.5143327,1.5275962,0.16137503,nan,0.1,0.00787438,0.005583417,0.027488621,0.019524863,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860362792,860362262,0,nan,nan,1.5216306,1.457112,-0.34698135,1.0054654,2.6427975,0.24295658,0.005656071,0.028779605,0.0051853703,0.0051126643,-2.4855537,-0.16062875,-0.00048217044,1.5622524,-1.0630913,0.14939654,1.5279533,0.16137503,nan,0.1,0.0081028845,0.0057472205,0.028404178,0.020177312,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860380696,860380216,0,nan,nan,1.5217646,1.4576986,-0.34701186,1.0054654,2.6427975,0.24295658,0.0076529244,0.037020765,0.0014413653,0.0013680097,-2.4855537,-0.16062875,-0.00048217044,1.3593427,0.052618816,1.1304116,1.5286576,0.16137503,nan,0.1,0.008353054,0.0059264526,0.029295,0.020813925,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860398706,860398217,0,nan,nan,1.5219359,1.4583082,-0.3469937,1.0054654,2.6427975,0.24295658,0.011521799,0.037312806,-0.0043819263,-0.0044557517,-2.4855537,-0.16062875,-0.00048217044,-0.15900591,0.5829804,-0.9598119,1.5284847,0.16137503,nan,0.1,0.0086242175,0.0061206375,0.030169414,0.02143515,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860425544,860425221,0,nan,nan,1.5222498,1.45929,-0.3470003,1.0054654,2.6427975,0.24295658,0.014866846,0.041156266,-0.0025945283,-0.0026688338,-2.4855537,-0.16062875,-0.00048217044,0.685694,0.55849975,-0.055125237,1.5279202,0.16137503,nan,0.1,0.009087202,0.0064519756,0.031465586,0.022356832,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860443730,860443221,0,nan,nan,1.5224283,1.4600233,-0.34698492,1.0054654,2.6427975,0.24295658,0.009873246,0.041043352,0.0016826004,0.0016080936,-2.4855537,-0.16062875,-0.00048217044,0.7169318,-0.25439554,-0.3031829,1.5282927,0.16137503,nan,0.1,0.009407347,0.0066809403,0.03228523,0.022940343,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860461785,860461224,0,nan,nan,1.5226315,1.4608039,-0.34701034,1.0054654,2.6427975,0.24295658,0.00970209,0.046130925,0.0030212954,0.0029465717,-2.4855537,-0.16062875,-0.00048217044,0.7997487,-0.28074184,0.8630684,1.5285192,0.16137503,nan,0.1,0.009744854,0.006922186,0.033086017,0.023508914,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860479704,860479224,0,nan,nan,1.5229028,1.4616581,-0.34700263,1.0054654,2.6427975,0.24295658,0.013913498,0.05023748,-0.0024393375,-0.0025142727,-2.4855537,-0.16062875,-0.00048217044,-0.7491869,1.027738,0.0038801627,1.5282618,0.16137503,nan,0.1,0.010098349,0.0071747624,0.03387494,0.02406244,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
